127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000401
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000442
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.000380
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000447
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000362
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000390
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000290
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000386
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000890
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000516
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 304, 0.000352
127.0.0.1, 2013-05-20 15:26:01, GET, /examples/static/images/stripes.png, HTTP/1.1, 304, 0.000422
127.0.0.1, 2013-05-20 15:26:01, GET, /examples/static/images/questions.png, HTTP/1.1, 304, 0.000408
127.0.0.1, 2013-05-20 15:26:01, GET, /examples/static/images/twitter.png, HTTP/1.1, 304, 0.000893
127.0.0.1, 2013-05-20 15:26:01, GET, /examples/static/images/facebook.png, HTTP/1.1, 304, 0.000833
127.0.0.1, 2013-05-20 15:26:01, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 304, 0.000402
127.0.0.1, 2013-05-20 15:52:57, GET, /examples/default/index, HTTP/1.1, 200, 0.011321
127.0.0.1, 2013-05-20 15:57:21, GET, /examples/default/index, HTTP/1.1, 200, 0.016276
127.0.0.1, 2013-05-20 15:58:32, GET, /examples/default/index, HTTP/1.1, 200, 0.007979
127.0.0.1, 2013-05-20 15:58:32, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000426
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000445
